filename,status,error,gt_period,detected_period,detected_period_harmonic_corrected,harmonic_type,confidence,n_detections,time_span_days,error_pct,error_pct_harmonic_corrected
TIC_160004049.csv,SUCCESS,,10.66669,0.7124903154764297,7.124903154764297,10x,0.3554239078585542,224,784.0039252804927,93.3204179039943,33.20417903994306
TIC_16005254.csv,SUCCESS,,3.792622,1.1069867850212662,3.3209603550637987,3x,0.42521579381897145,21,24.08168321937046,70.81209819957628,12.436294598728832
TIC_164458488.csv,SUCCESS,,122.3874,1.6878723754906686,16.878723754906687,10x,0.39353219366532083,135,1168.5914685787684,98.62087733255983,86.20877332559832
TIC_164555597.csv,SUCCESS,,0.893041236,0.7283975795466259,0.7283975795466259,1x,0.5694244991796276,110,1168.5915373200364,18.436288249221906,18.436288249221906
TIC_164785720.csv,SUCCESS,,15.660544,1.7771996009917888,15.9947964089261,9x,0.4433060077166554,132,1168.5915622899588,88.65173776216338,2.1343601405295973
TIC_164786172.csv,SUCCESS,,16.2254649,0.7518908655088775,7.518908655088775,10x,0.5863994919057791,48,246.38514910469667,95.36598260732191,53.659826073219165
TIC_166184428.csv,SUCCESS,,16.336334,2.795939872501953,16.775639235011717,6x,0.2834739517657716,27,734.1524712291093,82.8851450239573,2.689129856256097
TIC_167730892.csv,SUCCESS,,14773.93272,0.35636008014110604,3.5636008014110603,10x,0.6255768395344766,28,53.20663120278505,99.99758791320568,99.97587913205678
TIC_169175503.csv,SUCCESS,,10.3039,1.7771677050020571,10.663006230012343,6x,0.44150310915973606,54,1875.8915489931926,82.75247522780639,3.4851486331616397
TIC_169465273.csv,SUCCESS,,10.29672521,1.5107308701358357,10.57511609095085,7x,0.6049783470341467,810,960.8048734749827,85.32804518597193,2.703683698196409
TIC_170251516.csv,SUCCESS,,2.534756273,2.180825804911282,2.180825804911282,1x,0.42353730574572696,13,52.69292730170264,13.96309664399509,13.96309664399509
TIC_170733187.csv,SUCCESS,,0.921032135,1.7691888800390492,1.7691888800390492,1x,0.590984136752568,815,1459.4888900973892,92.0876387270732,92.0876387270732
TIC_170867837.csv,SUCCESS,,20608.14049,0.7427098308035435,7.4270983080354345,10x,0.3757032675916327,190,762.0174458638987,99.99639603664792,99.96396036647927
TIC_171029578.csv,SUCCESS,,20.310501,1.6513754181129987,16.513754181129986,10x,0.4666877397320306,93,1139.2557378122883,91.86935163188245,18.693516318824496
TIC_174328045.csv,SUCCESS,,5.056973,0.323896336401536,3.2389633640153597,10x,0.30014412626968434,156,25.750853404941154,93.59505505760983,35.9505505760984
TIC_174500619.csv,NO_PERIOD,no_valid_clusters,663.87,,,1x,0.0,84,1845.6414189648622,,
TIC_176287658.csv,SUCCESS,,10.3465,0.7360100928253814,7.360100928253814,10x,0.30458361314893706,86,785.289345815157,92.88638580364972,28.86385803649723
TIC_179348425.csv,SUCCESS,,9.02378,0.3268341376499772,3.268341376499772,10x,0.33815247606549204,132,25.820342622567296,96.37807950049783,63.780795004978266
TIC_18318288.csv,SUCCESS,,1.3888725,0.755719940775028,1.511439881550056,2x,0.5189600623899295,82,1522.694776662144,45.58752219695991,8.82495560608019
TIC_184090767.csv,SUCCESS,,67.093408,0.7616000999148582,7.616000999148582,10x,0.44468781242132127,82,1847.88026165551,98.86486597921088,88.64865979210866
TIC_186810676.csv,SUCCESS,,9.485236,0.736545395601911,7.36545395601911,10x,0.41344981590413993,13,25.489221713848565,92.234822669653,22.348226696530173
TIC_193336820.csv,SUCCESS,,5.0066338,1.830769811584199,5.492309434752597,3x,0.4256682319841421,61,759.1167700611231,63.43311924302915,9.70064227091258
TIC_19342878.csv,SUCCESS,,1.332813,0.7134370412885195,1.426874082577039,2x,0.3872796041558592,131,752.7213590146926,46.471332340807045,7.0573353183859195
